Name,GIVE,Verified,Final Give,% of Give,CODE
Alex1237#2487,765,Yes,765,0.04605,40000
joshcs.eth,732,Yes,732,0.04407,40000
Narb#2669,708,Yes,708,0.04262,40000
colin4ward#6586,596,Yes,596,0.03588,35879.83866
jazza.eth#0178,583,Yes,583,0.03510,35097.22473
0xpaulie.eth#9638,574,Yes,574,0.03456,34555.41509
Dhaiwat10#1259,491,Yes,491,0.02956,29558.72615
nathanng.eth#1959,375,Yes,375,0.02258,22575.40184
Raza,318,Yes,318,0.01914,19143.94076
codingwithmanny,281,Yes,281,0.01692,16916.50111
carlomigueldy.eth#1262,272,Yes,272,0.01637,16374.69147
pbillingsby.eth#3207,268,Yes,268,0.01613,16133.88718
nas#9634,263,Yes,263,0.01583,15832.88183
sarahz.eth,263,Yes,263,0.01583,15832.88183
josevelez.eth#7569,262,Yes,262,0.01577,15772.68075
brianfive#6583,260,Yes,260,0.01565,15652.27861
drop_knowledge.eth#0001,258,Yes,258,0.01553,15531.87647
angel gomez#5685,237,Yes,237,0.01427,14267.65396
emmbodiment#4333,195,Yes,195,0.01174,11739.20896
K.#1570,191,Yes,191,0.01150,11498.40467
heyo#4973,190,Yes,190,0.01144,11438.2036
m4rio.eth __#0001,188,Yes,188,0.01132,11317.80146
tonyolendo#5739,188,Yes,188,0.01132,11317.80146
MOH_M_D S_DIQ#0375,186,Yes,186,0.01120,11197.39931
rasmuscnielsen#2349,178,Yes,178,0.01072,10715.79074
goldzulu#6057,176,Yes,176,0.01060,10595.3886
0xJof#7453,171,Yes,171,0.01029,10294.38324
gjsyme | #496,161,Yes,161,0.00969,9692.372524
MichelleBakels#9769,160,Yes,160,0.00963,9632.171453
andreiv#4775,153,Yes,153,0.00921,9210.763952
jiak#2805,152,Yes,152,0.00915,9150.56288
medusas brother#0268,150,Yes,150,0.00903,9030.160737
DAppaDan#8403,148,Yes,148,0.00891,8909.758594
Alex245#0896,147,Yes,147,0.00885,8849.557522
embiem#8821,146,Yes,146,0.00879,8789.356451
cwong.eth,145,Yes,145,0.00873,8729.155379
PeterPan#2344,145,Yes,145,0.00873,8729.155379
skyone#8140,136,Yes,136,0.00819,8187.345735
rebekah,133,Yes,133,0.00801,8006.74252
rahat#6335,129,Yes,129,0.00777,7765.938234
willworth#8430,128,Yes,128,0.00771,7705.737162
Tao#2533,126,Yes,126,0.00759,7585.335019
JD__#4997,125,Yes,125,0.00753,7525.133947
NoahH#7223,125,Yes,125,0.00753,7525.133947
sylksie#3878,125,Yes,125,0.00753,7525.133947
Derked,120,Yes,120,0.00722,7224.128589
waxy#0208,110,Yes,110,0.00662,6622.117874
souravinsights.eth,109,Yes,109,0.00656,6561.916802
Bright,107,Yes,107,0.00644,6441.514659
_Alan#9544,106,Yes,106,0.00638,6381.313587
Isiah,105,Yes,105,0.00632,6321.112516
CodePerfect#6638,104,Yes,104,0.00626,6260.911444
7i7o#9634,100,Yes,100,0.00602,6020.107158
ropats16#1743,98,Yes,98,0.00590,5899.705015
daviddale.eth#1022,93,Yes,93,0.00560,5598.699657
8F_0x5D#0382,93,Yes,93,0.00560,5598.699657
Michael Macaulay#9947,92,Yes,92,0.00554,5538.498585
2084#9388,82,Yes,82,0.00494,4936.487869
bobbay#4885,81,Yes,81,0.00488,4876.286798
pumatus#3391,79,Yes,79,0.00476,4755.884655
kaxline#0653,77,Yes,77,0.00464,4635.482512
ChauzeixT#8128,77,Yes,77,0.00464,4635.482512
notnil#8696,76,Yes,76,0.00458,4575.28144
randyhobbs.eth#7537,73,Yes,73,0.00439,4394.678225
tranqui.eth#9635,73,Yes,73,0.00439,4394.678225
Daeshawn#9057,71,Yes,71,0.00427,4274.276082
redshirt#9028,71,Yes,71,0.00427,4274.276082
OrlundoHubbard#1611,70,Yes,70,0.00421,4214.075011
Stefanie,66,Yes,66,0.00397,3973.270724
HenryL,65,Yes,65,0.00391,3913.069653
Mr Steven Stiffler#9944,61,Yes,61,0.00367,3672.265366
MartinB#3285,58,Yes,58,0.00349,3491.662152
doswell.eth,56,Yes,56,0.00337,3371.260008
linyi#6102,54,Yes,54,0.00325,3250.857865
Miral,54,Yes,54,0.00325,3250.857865
MantisClone#2619,53,Yes,53,0.00319,3190.656794
thomasmetta,51,Yes,51,0.00307,3070.254651
calvaz#3916,47,Yes,47,0.00283,2829.450364
bscottdavis#4981,44,Yes,44,0.00265,2648.847149
NewageSage,43,Yes,43,0.00259,2588.646078
Aakansha,43,Yes,43,0.00259,2588.646078
nazeeh#2041,42,Yes,42,0.00253,2528.445006
iamlexie.eth#1237,41,Yes,41,0.00247,2468.243935
0xEmile ____#8143,40,Yes,40,0.00241,2408.042863
Alexander,39,Yes,39,0.00235,2347.841792
Raz#1337,36,Yes,36,0.00217,2167.238577
Strider#0411,34,Yes,34,0.00205,2046.836434
diegoalzate#1520,32,Yes,32,0.00193,1926.434291
cachemonet#6619,31,Yes,31,0.00187,1866.233219
aykay#4166,28,Yes,28,0.00169,1685.630004
andrewhnberry#4181,27,Yes,27,0.00163,1625.428933
christian.anese#4341,27,Yes,27,0.00163,1625.428933
Qaf,27,Yes,27,0.00163,1625.428933
adamdawson.eth#8476,26,Yes,26,0.00157,1565.227861
JoviDeCroock#3703,23,Yes,23,0.00138,1384.624646
wiseTy,21,Yes,21,0.00126,1264.222503
Danial Hasan,21,Yes,21,0.00126,1264.222503
manapixels#6426,21,Yes,21,0.00126,1264.222503
piablo,19,Yes,19,0.00114,1143.82036
saminacodes#2918,17,Yes,17,0.00102,1023.418217
Iggy GL,17,Yes,17,0.00102,1023.418217
JoshC#1651,17,Yes,17,0.00102,1023.418217
nomador#6060,14,Yes,14,0.00084,842.8150021
etherinsight,14,Yes,14,0.00084,842.8150021
camiinthisthang#2946,12,Yes,12,0.00072,722.4128589
cryptoneur#3785,12,Yes,12,0.00072,722.4128589
unwrittentech#7127,11,Yes,11,0.00066,662.2117874
bradley#4473,11,Yes,11,0.00066,662.2117874
HKerStanley#4125,11,Yes,11,0.00066,662.2117874
Urek#5014,11,Yes,11,0.00066,662.2117874
abyssus.bit#9947,245,No,10,0.00060,602.0107158
MKDFN#0294,75,No,10,0.00060,602.0107158
Greenchile,43,No,10,0.00060,602.0107158
Angel.Y#3940,41,No,10,0.00060,602.0107158
kagamimoe#2180,41,No,10,0.00060,602.0107158
jojo,14,No,10,0.00060,602.0107158
@jialei12138#7936,74,No,10,0.00060,602.0107158
0xArthur.xyz,10,Yes,10,0.00060,602.0107158
0xDevGua,169,No,10,0.00060,602.0107158
1234sed#8770,120,No,10,0.00060,602.0107158
aarvay,54,No,10,0.00060,602.0107158
adiak47#3744,37,No,10,0.00060,602.0107158
Adil.IsNotAFn#7784,20,No,10,0.00060,602.0107158
ael#4269,36,No,10,0.00060,602.0107158
aesthytik#0191,34,No,10,0.00060,602.0107158
ahmad#7204,79,No,10,0.00060,602.0107158
aiyawoqu,17,No,10,0.00060,602.0107158
akxakxll_#3170,33,No,10,0.00060,602.0107158
ando_woods#1133,17,No,10,0.00060,602.0107158
Avrahm,48,No,10,0.00060,602.0107158
BeiMing,76,No,10,0.00060,602.0107158
Berlin#3356,30,No,10,0.00060,602.0107158
"bixi___,___#2334",20,No,10,0.00060,602.0107158
blackhare,40,No,10,0.00060,602.0107158
Blanker#6666,10,No,10,0.00060,602.0107158
blockyu.eth#7130,45,No,10,0.00060,602.0107158
brave man#5015,25,No,10,0.00060,602.0107158
Byron#4087,12,No,10,0.00060,602.0107158
c8779026#,99,No,10,0.00060,602.0107158
cans,12,No,10,0.00060,602.0107158
casa#2002,13,No,10,0.00060,602.0107158
cat-mao#8888,40,No,10,0.00060,602.0107158
chao#8304,12,No,10,0.00060,602.0107158
chenyucong111#2935,109,No,10,0.00060,602.0107158
CMH,85,No,10,0.00060,602.0107158
cryptofry#0485,34,No,10,0.00060,602.0107158
CWEX_Dun Lee#6280,77,No,10,0.00060,602.0107158
d_dLEO,27,No,10,0.00060,602.0107158
daicoin#8665,89,No,10,0.00060,602.0107158
daocoin#1737,171,No,10,0.00060,602.0107158
dashuang_#4642,23,No,10,0.00060,602.0107158
"Degg-Dengdeng (°,°)#1455",51,No,10,0.00060,602.0107158
digidigo#5599,15,No,10,0.00060,602.0107158
dobbie.eth#1385,37,No,10,0.00060,602.0107158
douwox#3106,32,No,10,0.00060,602.0107158
edamamoo.eth,21,No,10,0.00060,602.0107158
facaidada#4432,80,No,10,0.00060,602.0107158
fage,71,No,10,0.00060,602.0107158
frankun,43,No,10,0.00060,602.0107158
hakunamatim,17,No,10,0.00060,602.0107158
hou,56,No,10,0.00060,602.0107158
huangnanlv#3205,145,No,10,0.00060,602.0107158
hutsenamis,11,No,10,0.00060,602.0107158
hxy,135,No,10,0.00060,602.0107158
Ioan,32,No,10,0.00060,602.0107158
JackL#6359,45,No,10,0.00060,602.0107158
JackyZhang#8533,40,No,10,0.00060,602.0107158
jiexiang#7071,70,No,10,0.00060,602.0107158
joneskj55.eth#6028,23,No,10,0.00060,602.0107158
jorel.eth,14,No,10,0.00060,602.0107158
katrina,28,No,10,0.00060,602.0107158
khaen9#7528,10,No,10,0.00060,602.0107158
King | Bobomaid#3579,85,No,10,0.00060,602.0107158
knightsof88#9906,12,No,10,0.00060,602.0107158
lim#7894,43,No,10,0.00060,602.0107158
LJQZZZ#0892,21,No,10,0.00060,602.0107158
lubtc,80,No,10,0.00060,602.0107158
mattox,10,No,10,0.00060,602.0107158
mergod,21,No,10,0.00060,602.0107158
mooing#2596,54,No,10,0.00060,602.0107158
Moojing,22,No,10,0.00060,602.0107158
NanHai#7360,74,No,10,0.00060,602.0107158
NightLeo#8525,10,No,10,0.00060,602.0107158
nightowl,12,No,10,0.00060,602.0107158
Nori,110,No,10,0.00060,602.0107158
okcpbit,136,No,10,0.00060,602.0107158
poapswap.eth#5594,86,No,10,0.00060,602.0107158
qingdeng,62,No,10,0.00060,602.0107158
QZ#6600,10,Yes,10,0.00060,602.0107158
R4ndom_seed#2675,18,No,10,0.00060,602.0107158
Randolph,27,No,10,0.00060,602.0107158
reallym#7102,62,No,10,0.00060,602.0107158
robotwarrior,23,No,10,0.00060,602.0107158
scottrepreneur#8411,38,No,10,0.00060,602.0107158
script.money,493,No,10,0.00060,602.0107158
Shadowdancer,11,No,10,0.00060,602.0107158
silent,12,No,10,0.00060,602.0107158
SocialButterfly,10,No,10,0.00060,602.0107158
steph#2187,11,No,10,0.00060,602.0107158
suzumiya#6443,130,No,10,0.00060,602.0107158
Thorgan#6451,10,No,10,0.00060,602.0107158
TianKong,63,No,10,0.00060,602.0107158
tippice | AAC#0666,31,No,10,0.00060,602.0107158
Token.Garden#6351,132,No,10,0.00060,602.0107158
Tsai#4611,38,No,10,0.00060,602.0107158
valueflow,24,No,10,0.00060,602.0107158
vbiteth,110,No,10,0.00060,602.0107158
wei777#4225,25,No,10,0.00060,602.0107158
xiaofu#2909,10,No,10,0.00060,602.0107158
xihari.eth#3362,86,No,10,0.00060,602.0107158
xpjmgs.eth,112,No,10,0.00060,602.0107158
xS#9360,40,No,10,0.00060,602.0107158
xuyixin,26,No,10,0.00060,602.0107158
yaffa,17,No,10,0.00060,602.0107158
yjhteermo,12,No,10,0.00060,602.0107158
zeox7#8627,17,No,10,0.00060,602.0107158
zerah#2653,20,No,10,0.00060,602.0107158
zhybigcoin,98,No,10,0.00060,602.0107158
zijianfeiwu,73,No,10,0.00060,602.0107158
zkmark,18,No,10,0.00060,602.0107158
_geij Dragon-Ball 5_MONO LOCCO#0182,21,No,10,0.00060,602.0107158
_J#8405,29,No,10,0.00060,602.0107158
"_____,___#9172",10,No,10,0.00060,602.0107158
__ | Community | BUJI DAO#7777,33,No,10,0.00060,602.0107158
BitSat#2626,9,No,9,0.00054,541.8096442
fashen001#2591,9,No,9,0.00054,541.8096442
gracelily,9,Yes,9,0.00054,541.8096442
Leon2#1569,9,No,9,0.00054,541.8096442
amble,8,No,8,0.00048,481.6085726
ammar#2986,8,No,8,0.00048,481.6085726
An1cu12,8,Yes,8,0.00048,481.6085726
BeardedDonut#2673,8,No,8,0.00048,481.6085726
Hone1er.eth#3917,8,Yes,8,0.00048,481.6085726
ibtc,8,No,8,0.00048,481.6085726
Luvi,8,No,8,0.00048,481.6085726
Barabazs,7,No,7,0.00042,421.4075011
bosco#7827,7,No,7,0.00042,421.4075011
JCJC,7,No,7,0.00042,421.4075011
Levi,7,No,7,0.00042,421.4075011
lsf,7,No,7,0.00042,421.4075011
parseb,7,Yes,7,0.00042,421.4075011
tripfrog#4891,7,No,7,0.00042,421.4075011
Troy#2478,7,No,7,0.00042,421.4075011
Umar,7,No,7,0.00042,421.4075011
Vain,7,No,7,0.00042,421.4075011
crazywriter#9550,6,No,6,0.00036,361.2064295
Danny | Curiosity#2987,6,No,6,0.00036,361.2064295
jkrsp#7738,6,Yes,6,0.00036,361.2064295
kidme#8368,6,Yes,6,0.00036,361.2064295
Mason19#2428,6,No,6,0.00036,361.2064295
mish#3571,6,Yes,6,0.00036,361.2064295
Donna#4920,5,No,5,0.00030,301.0053579
fangio#6195,5,No,5,0.00030,301.0053579
icree8,5,No,5,0.00030,301.0053579
needanameforme#6277,5,No,5,0.00030,301.0053579
"sjtuer.eth(__,__)#6495",5,No,5,0.00030,301.0053579
Chris Lally,4,No,4,0.00024,240.8042863
"Kitty Gang |_____,___(°)#4506",4,No,4,0.00024,240.8042863
shicj#3512,4,No,4,0.00024,240.8042863
camilarondinini#3500,3,Yes,3,0.00018,180.6032147
ChandlerTaher#6425,3,No,3,0.00018,180.6032147
coderlu#2704,3,No,3,0.00018,180.6032147
dallascat,3,Yes,3,0.00018,180.6032147
fornax#6075,3,No,3,0.00018,180.6032147
hansy#9576,3,Yes,3,0.00018,180.6032147
JyteCeo#2852,3,Yes,3,0.00018,180.6032147
Kruse#4663,3,No,3,0.00018,180.6032147
lauren#6518,3,No,3,0.00018,180.6032147
Notorious84#6662,3,Yes,3,0.00018,180.6032147
Rick Gallop #6852,3,No,3,0.00018,180.6032147
rigor789#4046,3,No,3,0.00018,180.6032147
spine1#9647,3,No,3,0.00018,180.6032147
wv_tongxue#6911,3,No,3,0.00018,180.6032147
zkdoof,3,No,3,0.00018,180.6032147
BrianHHough#5648,2,Yes,2,0.00012,120.4021432
carllippert,2,Yes,2,0.00012,120.4021432
futurethang#0642,2,No,2,0.00012,120.4021432
Hansi,2,No,2,0.00012,120.4021432
lanxiaolan#0372,2,No,2,0.00012,120.4021432
Marcuzt,2,No,2,0.00012,120.4021432
Maxdaftpunker#1273,2,No,2,0.00012,120.4021432
moonedge,2,No,2,0.00012,120.4021432
Mulander,2,No,2,0.00012,120.4021432
OnenessWang#4872,2,No,2,0.00012,120.4021432
samueldanso#7649,2,No,2,0.00012,120.4021432
Wukong#4655,2,No,2,0.00012,120.4021432
yhc2011#7167,2,No,2,0.00012,120.4021432
zgcxyz183#0473,2,No,2,0.00012,120.4021432
Afoma#9931,1,Yes,1,0.00006,60.20107158
canbili,1,No,1,0.00006,60.20107158
haliluya,1,No,1,0.00006,60.20107158
KowalskiTom,1,No,1,0.00006,60.20107158
localblackguy#6658,1,Yes,1,0.00006,60.20107158
malechi#6699,1,No,1,0.00006,60.20107158
mandrex#6274,1,No,1,0.00006,60.20107158
Mat’as,1,Yes,1,0.00006,60.20107158
MBtinty#4030,1,No,1,0.00006,60.20107158
Obi,1,No,1,0.00006,60.20107158
ohhkaneda.eth,1,No,1,0.00006,60.20107158
PGtime#4140,1,No,1,0.00006,60.20107158
Scorpion#9102,1,No,1,0.00006,60.20107158
WillonMars#5793,1,No,1,0.00006,60.20107158
xuanbeihai#6481,1,No,1,0.00006,60.20107158
znxxmz#7468,1,No,1,0.00006,60.20107158